,chemicalFormula,licenses,names,preparation,references,Axis Length,Axis Length-conditions,Axis Length-units,Bulk Modulus,Bulk Modulus-conditions,Bulk Modulus-maximum,Bulk Modulus-minimum,Bulk Modulus-units,Cell Angle,Cell Angle-conditions,Cell Angle-units,Chemical Family,Commercial Name,Compressive Strength,Compressive Strength-conditions,Compressive Strength-maximum,Compressive Strength-minimum,Compressive Strength-units,Corrosion Activtn Energy,Corrosion Activtn Energy-conditions,Corrosion Activtn Energy-units,Corrosion Rate,Corrosion Rate-conditions,Corrosion Rate-units,Corrosion Species,Corrosion Species-conditions,Creep Activatn Energy,Creep Activatn Energy-conditions,Creep Activatn Energy-units,Creep Rate,Creep Rate Exponent,Creep Rate Exponent-conditions,Creep Rate-conditions,Creep Rate-units,Crystal Cell System,Crystal Cell System-conditions,Crystallinity,Debye Temperature,Debye Temperature-conditions,Debye Temperature-units,Density,Density-conditions,Density-maximum,Density-minimum,Density-units,Diffusion Coefficient,Diffusion Coefficient-conditions,Diffusion Coefficient-units,Dopant,Dopant-conditions,Elastic Modulus,Elastic Modulus-conditions,Elastic Modulus-maximum,Elastic Modulus-minimum,Elastic Modulus-units,Elasticity Tensor,Elasticity Tensor-conditions,Elasticity Tensor-units,Electrical Resistivity Log,Electrical Resistivity Log-conditions,Electrical Resistivity Log-units,Flexural Strength,Flexural Strength-conditions,Flexural Strength-maximum,Flexural Strength-minimum,Flexural Strength-units,Fracture Energy,Fracture Energy-conditions,Fracture Energy-units,Fracture Toughness,Fracture Toughness-conditions,Fracture Toughness-maximum,Fracture Toughness-minimum,Fracture Toughness-units,Friction Coefficient,Friction Coefficient-conditions,Friction Coefficient-maximum,Friction Coefficient-minimum,Grain Size,Grain Size-conditions,Grain Size-maximum,Grain Size-minimum,Grain Size-units,Grinding Rat,Grinding Rat-conditions,Grinding Rat-units,Gruneisen Parameter,Gruneisen Parameter-conditions,Hardness,Hardness-conditions,Hardness-maximum,Hardness-minimum,Hardness-units,Impurity,Impurity-conditions,InChI,Log Wear Coefficient,Log Wear Coefficient-conditions,Log Wear Rate,Log Wear Rate-conditions,Log Wear Rate-units,Manufacturer,Maximum-Use Temperature,Maximum-Use Temperature-conditions,Maximum-Use Temperature-units,Melting Point Temperature,Melting Point Temperature-conditions,Melting Point Temperature-units,Phase,Phase-conditions,Poissons Ratio,Poissons Ratio-conditions,Poissons Ratio-maximum,Poissons Ratio-minimum,Porosity,Porosity-conditions,Porosity-units,Production Form,Relative Atomic Coordinate,Relative Atomic Coordinate-conditions,SMILES,Shear Modulus,Shear Modulus-conditions,Shear Modulus-units,Sintering Aid,Sintering Aid-conditions,Sound Velocity,Sound Velocity-conditions,Sound Velocity-units,Space Group,Space Group-conditions,Specific Heat,Specific Heat-conditions,Specific Heat-units,Tensile Strength,Tensile Strength-conditions,Tensile Strength-maximum,Tensile Strength-minimum,Tensile Strength-units,Thermal Conductivity,Thermal Conductivity-conditions,Thermal Conductivity-units,Thermal Diffusivity,Thermal Diffusivity-conditions,Thermal Diffusivity-units,Thermal Expansion,Thermal Expansion-conditions,Thermal Expansion-units,Thermal Shock Resistance,Thermal Shock Resistance-conditions,Thermal Shock Resistance-units,Weibull Modulus,Weibull Modulus-conditions,Weibull Strength,Weibull Strength-conditions,Weibull Strength-units
1945,Si3N4.xSiC,[{'name': 'NIST_SRD-30'}],['Silicon nitride composite'],[{'name': 'Hot Pressing'}],"[{'citation': 'Mechanical Properties and Microstructure of Si3N4 Matrix Composite with Nano-Meter Scale SiC Particles, G. Sasaki, H. Nakase, K. Suganuma, T. Fujita, and K. Niihara, Journal of the Ceramic Society of Japan, Vol. 100 4, pp. 536-540 (1992), published by Ceramic Society of Japan.'}]",,,,,,,,,,,,Si-N:SiC,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,292,"[{'name': 'Volume Fraction of SiC', 'scalars': [{'value': '0'}, {'value': '5'}, {'value': '10'}, {'value': '20'}], 'units': '%'}]",,,GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,ZrO2.xY2O3.yFe2O3,[{'name': 'NIST_SRD-30'}],['Zirconia (cubic)'],[{'name': 'Sintering'}],"[{'citation': 'Elastic Constants of the Iron Oxide Doped Yttria-Stabilized Zirconia, M.A. Ewaida, A.A. Higazy, B. Bridge, and M.M. Abou Sekkina, Journal of Materials Science, Vol. 24, pp. 3660-3666 (1989), published by Chapman and Hall.'}]",,,,,,,,,,,,Zr-O:Y,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328,"[{'name': 'Sintering Temperature', 'scalars': [{'value': '1350'}], 'units': '$^{\\circ}$C'}, {'name': 'Sample Number', 'scalars': [{'value': 'Z-1'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,ZrO2.wMgO.xAl2O3.ySiO2.zTiO2,[{'name': 'NIST_SRD-30'}],['Zirconia'],,"[{'citation': 'Ceramic Technology Project Data Base:  September 1992 Summary Report, B.L.P. Keyes, ORNL Report Number:  ORNL/M-2775, pp. 1-171 (1992), published by Oak Ridge National Laboratory.'}]",,,,,,,,,,,,Zr-O:Al,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,122,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}, {'name': 'Specimen Number', 'scalars': [{'value': 'A'}]}]",,,MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,SiC,[{'name': 'NIST_SRD-30'}],['Silicon carbide'],[{'name': 'Sintering'}],"[{'citation': 'High Temperature Corrosion of Engineering Ceramics, N.S. Jacobson, J.L. Smialek, and D.S. Fox, Corrosion of Glass, Ceramics and Ceramic Superconductors, pp. 514-545 (1992), edited by D.E. Clark and B.K. Zoitos, published by Noyes Publications.'}]",,,,,,,,,,,,"Si-C:B,C",,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,230,"[{'name': 'Bend Test Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}, {'name': 'Pit Depth', 'scalars': [{'value': '210'}, {'value': '51'}, {'value': '26'}, {'value': '45'}, {'value': '39'}, {'value': '38'}, {'value': '34'}, {'value': '240'}, {'value': '130'}, {'value': '88'}, {'value': '77'}, {'value': '67'}, {'value': '77'}, {'value': '69'}, {'value': '65'}, {'value': '48'}, {'value': '55'}, {'value': '120'}, {'value': '63'}, {'value': '44'}, {'value': '30'}, {'value': '32'}, {'value': '23'}], 'units': '$\\mu$m'}, {'name': 'Environment', 'scalars': [{'value': 'Burner Rig'}, {'value': 'Burner Rig'}, {'value': 'Burner Rig'}, {'value': 'Na2SO4/Air'}, {'value': 'Na2SO4/Air'}, {'value': 'Na2SO4/Air'}, {'value': 'Na2SO4/Air'}, {'value': 'Na2SO4/SO3'}, {'value': 'Na2SO4/SO3'}, {'value': 'Na2SO4/SO3'}, {'value': 'Na2SO4/SO3'}, {'value': 'Na2SO4/SO3'}, {'value': 'Na2SO4/SO3'}, {'value': 'Na2SO4/SO3'}, {'value': 'Na2SO4/SO3'}, {'value': 'Na2SO4/SO3'}, {'value': 'Na2SO4/SO3'}, {'value': 'Na2CO3/CO2'}, {'value': 'Na2CO3/CO2'}, {'value': 'Na2CO3/CO2'}, {'value': 'Na2CO3/CO2'}, {'value': 'Na2CO3/CO2'}, {'value': 'Na2CO3/CO2'}]}, {'name': 'Apparatus', 'scalars': [{'value': 'Burner Rig'}, {'value': 'Burner Rig'}, {'value': 'Burner Rig'}, {'value': 'Furnace'}, {'value': 'Furnace'}, {'value': 'Furnace'}, {'value': 'Furnace'}, {'value': 'Furnace'}, {'value': 'Furnace'}, {'value': 'Furnace'}, {'value': 'Furnace'}, {'value': 'Furnace'}, {'value': 'Furnace'}, {'value': 'Furnace'}, {'value': 'Furnace'}, {'value': 'Furnace'}, {'value': 'Furnace'}, {'value': 'Furnace'}, {'value': 'Furnace'}, {'value': 'Furnace'}, {'value': 'Furnace'}, {'value': 'Furnace'}, {'value': 'Furnace'}]}]",,,MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carborundum Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,Si3N4,[{'name': 'NIST_SRD-30'}],['Silicon nitride'],[{'name': 'Hot Isostatic Pressing'}],"[{'citation': 'Summary of Results of the Effects of Environment on Mechanical Behavior of High-Performance Ceramics, D.E. McCullum, N.L. Hecth, L. Chuck, and S.M. Goodrich, Ceramic Engineering and Science Proceedings, Vol. 12 9, pp. 1886-1913 (1991), published by American Ceramic Society.'}]",,,,,,,,,,,,Si-N,NT-154,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Norton/TRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726,"[{'name': 'Temperature', 'scalars': [{'value': '20'}, {'value': '1000'}, {'value': '1200'}, {'value': '1400'}], 'units': '$^{\\circ}$C'}]",,,MPa,,,,,,,,,,,,,,,,,
1950,Si3N4.xLaO2.yAl2O3,[{'name': 'NIST_SRD-30'}],['Silicon nitride composite'],,"[{'citation': 'Ceramic Technology Project Data Base:  September 1992 Summary Report, B.L.P. Keyes, ORNL Report Number:  ORNL/M-2775, pp. 1-171 (1992), published by Oak Ridge National Laboratory.'}]",,,,,,,,,,,,Si-N:Al,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,1075,"[{'name': 'Temperature', 'scalars': [{'value': '22'}], 'units': '$^{\\circ}$C'}, {'name': 'Specimen Number', 'scalars': [{'value': 'C'}]}]",,,MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,ZrB2,[{'name': 'NIST_SRD-30'}],['Zirconium diboride'],[{'name': 'Hot Pressing'}],"[{'citation': 'Elastic Properties of Polycrystalline TiB2, ZrB2, and HfB2 from Room Temperature to 1300 K, D.E. Wiley, W.R. Manning, and O. Hunter,Jr., Journal of the Less-Common Metals, Vol. 18, pp. 149-157 (1969), published by Elsevier Sequoia.'}]",,,,,,,,,,,,Zr-B,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,"[{'name': 'Temperature', 'scalars': [{'value': '54'}, {'value': '117'}, {'value': '168'}, {'value': '224'}, {'value': '275'}, {'value': '320'}, {'value': '370'}, {'value': '415'}, {'value': '447'}, {'value': '498'}, {'value': '574'}, {'value': '644'}, {'value': '689'}, {'value': '727'}, {'value': '765'}, {'value': '797'}, {'value': '841'}, {'value': '873'}, {'value': '931'}, {'value': '1001'}], 'units': '$^{\\circ}$C'}]",,,,,,,,,,,,,,Carborundum Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,SiC,[{'name': 'NIST_SRD-30'}],['Silicon carbide'],[{'name': 'Reaction Bonding'}],"[{'citation': 'Performance Verification of New, Low-Cost Ceramics, R.E. Tressler, Projects Within the Center for Advanced Materials, pp. 124-163 (1987), edited by J.R. Hellmann and B.K. Kennedy, published by Center for Advanced Materials, Pennsylvania State University.'}]",,,,,,,,,,,,Si-C,SCRB210,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,"[{'name': 'Temperature', 'scalars': [{'value': '22'}, {'value': '1200'}], 'units': '$^{\\circ}$C'}]",,,MPa m$^{1/2}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coors Porcelain Company,,,,,,,,,,,,,,,,Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,3Al2O3.2SiO2,[{'name': 'NIST_SRD-30'}],['Mullite'],[{'name': 'Sintering'}],"[{'citation': 'Sintering and Mechanical Properties of Stoichiometric Mullite, S. Kanzaki, H. Tabata, T. Kumazawa, and S. Ohta, Journal of the American Ceramic Society, Vol. 68 1, pp. C-6-C-7 (1985), published by American Ceramic Society.'}]",,,,,,,,,,,,Al-Si-O,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,3.01,"[{'name': 'Relative Density', 'scalars': [{'value': '95'}], 'units': '%'}]",,,g cm$^{-3}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,HfB2,[{'name': 'NIST_SRD-30'}],['Hafnium diboride'],[{'name': 'Crystal Growth'}],"[{'citation': 'Crystal Growth of Borides and Carbides of Transition Metals from Molten Aluminum Solutions, I. Higashi, Y. Takahashi, and T. Atoda, Journal of Crystal Growth, Vol. 33, pp. 207-211 (1976), published by Elsevier Science B.V..'}]",3.1433,"[{'name': 'Axis', 'scalars': [{'value': 'a'}, {'value': 'c'}]}]",$\AA$,,,,,,,,,Hf-B,,,,,,,,,,,,,,,,,,,,,,,,,Single Crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,ZrO2.xY2O3,[{'name': 'NIST_SRD-30'}],['Zirconia (PSZ)'],[{'name': 'Sintering'}],"[{'citation': 'Influence of $\\alpha$-Al2O3 and Na-$\\beta$-Al2O3 Additions on the Strength of Y2O3·Partially-Stabilized ZrO2, G.R. Liu, X.N. Huang, and P.S. Nicholson, American Ceramic Society Bulletin, Vol. 71 1, pp. 110-115 (1992), published by American Ceramic Society.'}]",,,,,,,,,,,,Zr-O:Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y2O3,"[{'name': 'Sintering Aid Molar Fraction', 'scalars': [{'value': '2.5'}], 'units': '%'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,Si3N4,[{'name': 'NIST_SRD-30'}],['Silicon nitride'],[{'name': 'Sintering'}],"[{'citation': 'Formation and Characteristics of Silicon Nitride-Lithium Aluminum Silicate Ceramics:  Part II, Mechanical and Thermal Properties, D.J. Kim, P. Greil, and G. Petzow, Advanced Ceramic Materials, Vol. 2 4, pp. 822-826 (1987), published by American Ceramic Society.'}]",,,,,,,,,,,,Si-N,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.20,"[{'name': 'Devitrified', 'scalars': [{'value': 'no'}, {'value': 'yes'}]}]",,,MPa m$^{1/2}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,3Al2O3.2SiO2.xSiC,[{'name': 'NIST_SRD-30'}],['Mullite composite'],[{'name': 'Hot Pressing'}],"[{'citation': 'Creep of Hot-Pressed SiC Whisker Reinforced Mullite, R.D. Nixon, S. Chevacharoenkul, R.F. Davis, and T.N. Tiegs, Ceramic Transactions, Vol. 6, pp. 579-603 (1990), edited by S. Somiya, R.F. Davis, and J.A. Pask, published by American Ceramic Society.'}]",,,,,,,,,,,,Al-Si-O:SiC,,,,,,,,,,,,,,,,,,,2.87,"[{'name': 'Stress Range', 'scalars': [{'minimum': '102', 'maximum': '204'}], 'units': 'MPa'}, {'name': 'Temperature', 'scalars': [{'value': '1520'}], 'units': 'K'}, {'name': 'Sample Number', 'scalars': [{'value': 'MW5'}]}]",,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,AlN,[{'name': 'NIST_SRD-30'}],['Aluminum nitride'],[{'name': 'Sintering'}],"[{'citation': 'Morphological Effect of Second Phase on the Thermal Conductivity of AlN Ceramics, W.J. Kim, D.K. Kim, and C.H. Kim, Journal of the American Ceramic Society, Vol. 79 4, pp. 1066-1072 (1996), published by American Ceramic Society.'}]",,,,,,,,,,,,Al-N:Y,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,"[{'name': 'Sintering Conditions', 'scalars': [{'value': '1850 $^{\\circ}$C, 4 h'}, {'value': '1850 $^{\\circ}$C, 4 h'}, {'value': '1850 $^{\\circ}$C, 4 h'}, {'value': '1850 $^{\\circ}$C, 2 h'}, {'value': '1850 $^{\\circ}$C, 2 h'}, {'value': '1850 $^{\\circ}$C, 2 h'}, {'value': '1900 $^{\\circ}$C, 2 h'}, {'value': '1900 $^{\\circ}$C, 2 h'}, {'value': '1900 $^{\\circ}$C, 2 h'}, {'value': '1900 $^{\\circ}$C, 2 h'}, {'value': '1900 $^{\\circ}$C, 2.5 h'}, {'value': '1900 $^{\\circ}$C, 2.5 h'}, {'value': '1900 $^{\\circ}$C, 2.5 h'}, {'value': '1900 $^{\\circ}$C, 2.5 h'}, {'value': '1900 $^{\\circ}$C, 2 h'}, {'value': '1900 $^{\\circ}$C, 2 h'}, {'value': '1900 $^{\\circ}$C, 2 h'}, {'value': '1900 $^{\\circ}$C, 2 h'}]}, {'name': 'Cooling Rate', 'scalars': [{'value': 'fast'}, {'value': 'fast'}, {'value': 'fast'}, {'value': 'slow'}, {'value': 'slow'}, {'value': 'slow'}, {'value': 'fast'}, {'value': 'fast'}, {'value': 'fast'}, {'value': 'fast'}, {'value': 'fast'}, {'value': 'fast'}, {'value': 'fast'}, {'value': 'fast'}, {'value': 'slow'}, {'value': 'slow'}, {'value': 'slow'}, {'value': 'slow'}]}, {'name': 'Morphology of Second Phase', 'scalars': [{'value': 'Interconnected'}, {'value': 'Interconnected'}, {'value': 'Interconnected'}, {'value': 'Isolated'}, {'value': 'Isolated'}, {'value': 'Isolated'}, {'value': 'Interconnected'}, {'value': 'Interconnected'}, {'value': 'Interconnected'}, {'value': 'Interconnected'}, {'value': 'Interconnected'}, {'value': 'Interconnected'}, {'value': 'Interconnected'}, {'value': 'Interconnected'}, {'value': 'Isolated'}, {'value': 'Isolated'}, {'value': 'Isolated'}, {'value': 'Isolated'}]}, {'name': 'Mass Fraction of Y2O3', 'scalars': [{'value': '2'}, {'value': '4'}, {'value': '5'}, {'value': '2'}, {'value': '4'}, {'value': '5'}, {'value': '2'}, {'value': '4'}, {'value': '6'}, {'value': '8'}, {'value': '2'}, {'value': '4'}, {'value': '6'}, {'value': '8'}, {'value': '2'}, {'value': '4'}, {'value': '6'}, {'value': '8'}], 'units': '%'}]",W m$^{-1}$ K$^{-1}$,,,,,,,,,,,,,,
1959,3Al2O3.2SiO2,[{'name': 'NIST_SRD-30'}],['Mullite'],[{'name': 'Sintering'}],"[{'citation': 'Creep of Hot-Pressed SiC Whisker Reinforced Mullite, R.D. Nixon, S. Chevacharoenkul, R.F. Davis, and T.N. Tiegs, Ceramic Transactions, Vol. 6, pp. 579-603 (1990), edited by S. Somiya, R.F. Davis, and J.A. Pask, published by American Ceramic Society.'}]",,,,,,,,,,,,Al-Si-O,,,,,,,,,,,,,,,,,,3.00,,,"[{'name': 'Applied Stress', 'scalars': [{'value': '20'}, {'value': '40'}, {'value': '140'}, {'value': '140'}, {'value': '180'}, {'value': '220'}, {'value': '260'}, {'value': '300'}], 'units': 'MPa'}, {'name': 'Temperature', 'scalars': [{'value': '1600'}, {'value': '1600'}, {'value': '1600'}, {'value': '1700'}, {'value': '1700'}, {'value': '1700'}, {'value': '1700'}, {'value': '1700'}], 'units': 'K'}, {'name': 'Sample Number', 'scalars': [{'value': 'MNG2'}]}]",10$^{-9}$ s$^{-1}$,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,SiC,[{'name': 'NIST_SRD-30'}],['Silicon carbide'],[{'name': 'Reaction Bonding'}],"[{'citation': 'The Evaluation of Environmental Effects in Toughened Ceramics for Advanced Heat Engines Investigation of Selected SiC and Si3N4 Ceramics, N.L.Hecht, G.A.Graves, D.E.McCullum, A.P.Berens, S.Goodrich, J.D.Wolf, J.R.Hoenigman, P.Yaney, D.Grant, and S.Hilton, ORNL Report Number:  ORNL/Sub/84-00221/2, pp. 1-111 (1990), published by Oak Ridge National Laboratory.'}]",,,,,,,,,,,,Si-C,,,,,,,,,,,,,,,983,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",kJ mol$^{-1}$,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,C,[{'name': 'NIST_SRD-30'}],['Diamond (CVD)'],[{'name': 'Chemical Vapor Deposition'}],"[{'citation': 'Thermal Properties of Bulk Polycrystalline CVD Diamond, C.J.H. Wort, C.G. Sweeney, M.A. Copper, G.A. Scarsbrook, and R.S. Sussmann, Diamond and Related Materials, Vol. 3, pp. 1158-1167 (1994), published by Elsevier Science S.A..'}]",,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,"[{'name': 'Temperature', 'scalars': [{'value': '150'}, {'value': '175'}, {'value': '200'}, {'value': '225'}, {'value': '250'}, {'value': '275'}, {'value': '300'}, {'value': '350'}, {'value': '400'}, {'value': '450'}, {'value': '500'}, {'value': '200'}, {'value': '225'}, {'value': '245'}, {'value': '270'}, {'value': '295'}, {'value': '325'}, {'value': '345'}, {'value': '390'}, {'value': '435'}, {'value': '485'}], 'units': 'K'}, {'name': 'Sample Quality', 'scalars': [{'value': 'Low'}, {'value': 'Low'}, {'value': 'Low'}, {'value': 'Low'}, {'value': 'Low'}, {'value': 'Low'}, {'value': 'Low'}, {'value': 'Low'}, {'value': 'Low'}, {'value': 'Low'}, {'value': 'Low'}, {'value': 'High'}, {'value': 'High'}, {'value': 'High'}, {'value': 'High'}, {'value': 'High'}, {'value': 'High'}, {'value': 'High'}, {'value': 'High'}, {'value': 'High'}, {'value': 'High'}]}]",W m$^{-1}$ K$^{-1}$,,,,,,,,,,,,,,
1962,Al2O3,[{'name': 'NIST_SRD-30'}],['Alumina'],[{'name': 'Hot Pressing'}],"[{'citation': 'The Thermal Diffusivity and Conductivity of Transformation- Toughened Solid Solutions of Alumina and Chromia, D.P.H. Hasselman, R. Syed, and T.Y. Tien, Journal of Materials Science, Vol. 20, pp. 2549-2556 (1985), published by Chapman and Hall.'}]",,,,,,,,,,,,Al-O,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106,"[{'name': 'Temperature', 'scalars': [{'value': '20'}, {'value': '298'}, {'value': '390'}, {'value': '505'}, {'value': '608'}, {'value': '700'}, {'value': '792'}, {'value': '872'}, {'value': '998'}, {'value': '1102'}, {'value': '1193'}, {'value': '1308'}, {'value': '1400'}, {'value': '21'}, {'value': '585'}, {'value': '826'}, {'value': '1020'}, {'value': '1220'}], 'units': '$^{\\circ}$C'}, {'name': 'Condition', 'scalars': [{'value': 'heating'}, {'value': 'heating'}, {'value': 'heating'}, {'value': 'heating'}, {'value': 'heating'}, {'value': 'heating'}, {'value': 'heating'}, {'value': 'heating'}, {'value': 'heating'}, {'value': 'heating'}, {'value': 'heating'}, {'value': 'heating'}, {'value': 'heating'}, {'value': 'cooling'}, {'value': 'cooling'}, {'value': 'cooling'}, {'value': 'cooling'}, {'value': 'cooling'}]}, {'name': 'Mole Fraction of Cr2O3', 'scalars': [{'value': '0'}], 'units': '%'}]",cm$^{2}$ s$^{-1}$,,,,,,,,,,,
1963,SiC.xTiB2,[{'name': 'NIST_SRD-30'}],['Silicon carbide composite'],[{'name': 'Sintering'}],"[{'citation': 'Microstructure and Material Properties of SiC-TiB2 Particulate Composites, C.H. McMurtry, W.D.G. Boecker, S.G. Seshadri, J.S. Zanghi, and J.E. Garnier, American Ceramic Society Bulletin, Vol. 66 2, pp. 325-329 (1987), published by American Ceramic Society.'}]",,,,,,,,,,,,Si-C:TiB,,,,,,,,,,0.0,"[{'name': 'Exposure Temperature', 'scalars': [{'value': '800'}, {'value': '1000'}, {'value': '1200'}], 'units': '$^{\\circ}$C'}]",mg cm$^{-2}$ h$^{-1}$,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sohio Engineered Materials Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,ZrO.5%Y2O3,[{'name': 'NIST_SRD-30'}],['Zirconia (TZP)'],[{'name': 'Hot Isostatic Pressing'}],"[{'citation': 'Weibull Characterization of Four Hipped/Posthipped Engineering Ceramics Between Room Temperature and 1500 °C, J. Kubler, Mechanische Charakterisierung von Hochleistungskeramik Festigkeitsunte, pp. 1-88 (1992), published by EMPA Swiss Federal Laboratories for Materials Testing and Research.'}]",,,,,,,,,,,,Zr-O,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,$\mu$m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
